name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/4096_stddev",20,1.34332,1.3422,ns,5.25421e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32768_mean",20,1828.19,1828.02,ns,1.79254e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32768_median",20,1829.44,1829.26,ns,1.79132e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/32768_stddev",20,3.55878,3.53453,ns,3.47045e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/262144_mean",20,13969.7,13968.4,ns,1.87676e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/262144_median",20,13955.8,13954.4,ns,1.87857e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/262144_stddev",20,79.8114,79.7542,ns,1.06331e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/2097152_mean",20,156291,156274,ns,1.34198e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/2097152_median",20,156522,156504,ns,1.34e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/2097152_stddev",20,537.34,535.637,ns,4.60734e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/16777216_mean",20,1.24934e+06,1.24918e+06,ns,1.34308e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/16777216_median",20,1.2521e+06,1.25194e+06,ns,1.3401e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/16777216_stddev",20,5180.47,5165.15,ns,5.56366e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/67108864_mean",20,5.14514e+06,5.14374e+06,ns,1.30471e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/67108864_median",20,5.14569e+06,5.14496e+06,ns,1.30436e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncUnrollCopier>/67108864_stddev",20,27441.7,27011.2,ns,6.85437e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32_mean",20,114.043,114.02,ns,2.80686e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32_median",20,114.389,114.361,ns,2.79821e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32_stddev",20,1.28186,1.28499,ns,3.18142e+06,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/64_mean",20,114.509,114.482,ns,5.59135e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/64_median",20,115.113,115.077,ns,5.56151e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/64_stddev",20,1.53955,1.5407,ns,7.5805e+06,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/512_mean",20,134.631,134.579,ns,3.80501e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/512_median",20,135.142,135.078,ns,3.79042e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/512_stddev",20,1.62831,1.63759,ns,4.66294e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/4096_mean",20,322.44,322.313,ns,1.27085e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/4096_median",20,322.904,322.865,ns,1.26864e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/4096_stddev",20,1.61413,1.65022,ns,6.53334e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32768_mean",20,1834.66,1834.41,ns,1.78631e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32768_median",20,1836.13,1835.95,ns,1.78479e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/32768_stddev",20,4.50848,4.33473,ns,4.22363e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/262144_mean",20,13868.8,13867.3,ns,1.89038e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/262144_median",20,13880.3,13878.7,ns,1.88882e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/262144_stddev",20,29.1793,28.9967,ns,3.95726e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/2097152_mean",20,110698,110685,ns,1.89476e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/2097152_median",20,110429,110415,ns,1.89934e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/2097152_stddev",20,632.266,631.297,ns,1.08043e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/16777216_mean",20,996530,996096,ns,1.68437e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/16777216_median",20,995871,995415,ns,1.68545e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/16777216_stddev",20,6809.06,6778.34,ns,1.14724e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/67108864_mean",20,5.24993e+06,5.24495e+06,ns,1.27954e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/67108864_median",20,5.26389e+06,5.25864e+06,ns,1.27616e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFUnrollCopier>/67108864_stddev",20,32129,31253.3,ns,7.64687e+07,,,,
