name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/64_stddev",20,1.14816,1.1481,ns,2.85404e+07,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_mean",20,65.111,65.1105,ns,7.86867e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_median",20,64.5234,64.5227,ns,7.93522e+09,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/512_stddev",20,1.713,1.71305,ns,2.04783e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_mean",20,191.303,191.3,ns,2.14177e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_median",20,190.649,190.648,ns,2.14846e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/4096_stddev",20,3.3997,3.39904,ns,3.79284e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_mean",20,1367.57,1367.56,ns,2.39885e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_median",20,1380.42,1380.41,ns,2.37385e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/32768_stddev",20,47.365,47.3678,ns,8.40364e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_mean",20,13226.3,13226.1,ns,1.98283e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_median",20,13239.9,13239.7,ns,1.97998e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/262144_stddev",20,273.201,273.222,ns,4.10174e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_mean",20,136799,136797,ns,1.53553e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_median",20,135673,135673,ns,1.54575e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/2097152_stddev",20,5727.63,5727.7,ns,6.28793e+08,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/8388608_mean",20,802830,802818,ns,1.04532e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/8388608_median",20,805573,805562,ns,1.04134e+10,,,,
"CopyBench<shm::memory::dragons::AvxAsyncPFCopier>/8388608_stddev",20,16525.3,16528.4,ns,2.15337e+08,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_mean",20,2.18182,2.1818,ns,1.49297e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_median",20,2.08709,2.08708,ns,1.53324e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/32_stddev",20,0.380742,0.380736,ns,1.60023e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_mean",20,2.13716,2.13714,ns,3.0038e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_median",20,2.12326,2.12324,ns,3.01428e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/64_stddev",20,0.128746,0.128741,ns,1.60685e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_mean",20,7.35354,7.35347,ns,6.96593e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_median",20,7.38811,7.38799,ns,6.93017e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/512_stddev",20,0.161382,0.161381,ns,1.55095e+09,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_mean",20,60.2421,60.2416,ns,6.82267e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_median",20,58.9139,58.9135,ns,6.95359e+10,,,,
"CopyBench<shm::memory::dragons::AvxUnrollCopier>/4096_stddev",20,3.63554,3.63549,ns,4.08366e+09,,,,
